"Year","Month","Day","Moon_age","right_ascens_hour","right_ascens_min","right_ascens_sec","deg","declination_min","declination_sec","Rise","Culm","Set","Mag.","Observable","Constellation"
"2019","09","27","28 days","11","43","38","+02","51","29","06:00","12:19","18:39","1.8","Not observable","Virgo"
"2019","09","28","29 days","11","45","59","+02","35","59","06:02","12:20","18:38","1.8","Not observable","Virgo"
"2019","09","29","01 days","11","48","20","+02","20","27","06:00","12:17","18:34","1.8","Not observable","Virgo"
"2019","09","30","02 days","11","50","41","+02","04","54","05:58","12:14","18:29","1.8","Not observable","Virgo"
"2019","10","01","03 days","11","53","03","+01","49","21","06:00","12:14","18:28","1.8","Not observable","Virgo"
"2019","10","02","04 days","11","55","24","+01","33","46","05:58","12:11","18:24","1.8","Not observable","Virgo"
"2019","10","03","05 days","11","57","45","+01","18","11","06:00","12:12","18:23","1.8","Not observable","Virgo"
"2019","10","04","06 days","12","00","06","+01","02","36","05:59","12:08","18:18","1.8","Not observable","Virgo"
"2019","10","05","07 days","12","02","28","+00","47","00","06:01","12:09","18:17","1.8","Not observable","Virgo"
"2019","10","06","08 days","12","04","49","+00","31","24","05:59","12:06","18:13","1.8","Not observable","Virgo"
"2019","10","07","09 days","12","07","10","+00","15","47","05:57","12:02","18:08","1.8","Not observable","Virgo"
"2019","10","08","10 days","12","09","32","+00","00","10","05:59","12:03","18:07","1.8","Not observable","Virgo"
"2019","10","09","11 days","12","11","53","-00","15","26","05:57","12:00","18:03","1.8","Not observable","Virgo"
"2019","10","10","12 days","12","14","15","-00","31","03","05:59","12:01","18:02","1.8","Not observable","Virgo"
"2019","10","11","13 days","12","16","37","-00","46","40","05:58","11:57","17:57","1.8","Not observable","Virgo"
"2019","10","12","14 days","12","18","58","-01","02","16","06:00","11:58","17:56","1.8","Not observable","Virgo"
"2019","10","13","15 days","12","21","20","-01","17","53","05:58","11:55","17:52","1.8","Not observable","Virgo"
"2019","10","14","16 days","12","23","42","-01","33","29","05:56","11:52","17:47","1.8","Not observable","Virgo"
"2019","10","15","17 days","12","26","04","-01","49","05","05:58","11:52","17:46","1.8","Not observable","Virgo"
"2019","10","16","18 days","12","28","26","-02","04","40","05:56","11:49","17:42","1.8","Not observable","Virgo"
"2019","10","17","19 days","12","30","49","-02","20","14","05:59","11:50","17:41","1.8","Not observable","Virgo"
"2019","10","18","20 days","12","33","11","-02","35","48","05:57","11:47","17:36","1.8","Not observable","Virgo"
"2019","10","19","21 days","12","35","33","-02","51","21","05:55","11:43","17:32","1.8","Not observable","Virgo"
"2019","10","20","22 days","12","37","56","-03","06","54","05:57","11:44","17:31","1.8","Not observable","Virgo"
"2019","10","21","23 days","12","40","19","-03","22","25","05:55","11:41","17:26","1.8","Not observable","Virgo"
"All times computed for Mahilyow (latitude 53.92; longitude 30.34) and expressed in Mahilyow time."
"Ephemeris computed by Dominic Ford."
"<https://in-the-sky.org/>"